,subject_doc_id,visitor_uuid,also_like_doc
0,090123135730-e90bbed0b9f849b48fe3d7d89d137bb8,896bc6fdfe1a5bb0,120613215549-ca007ef5dc7d49259947fe861925f2d3
1,090126175857-72a228d4ed1c439181a9d48417099aef,7acd9ccd45451d83,100930212955-000bfd2240924f5583ce7cda0798a5ad
2,090126175857-72a228d4ed1c439181a9d48417099aef,7acd9ccd45451d83,120119182612-a5be9eb5fe524a1398cbb9310bd9a897
3,090126175857-72a228d4ed1c439181a9d48417099aef,7acd9ccd45451d83,130813170931-a7366e517424a1973520bc838c003bfe
4,090218115410-5ee808c18e68450abef3017189996027,981b53544fdfbdbf,100618091544-ed4f9aa7708540aaa5ba2814b810e688
5,090218115410-5ee808c18e68450abef3017189996027,981b53544fdfbdbf,100618094727-a3c8a090dc1d4379a1ff7f8ce4bbef0e
6,090218115410-5ee808c18e68450abef3017189996027,981b53544fdfbdbf,110330075929-7483b240649a42dd88e1cc1e48be1f28
7,090508164642-000000009af36bcc199e9538f40071f2,438e14643835c256,100325173135-00000000a20bfcc22b67d6dece3cc10a
8,090522113652-57f47919ab634ee4a3ec5e3a5d803bd1,0532a64b6bf05c16,120504180240-377a2208cbbb4df1ae9951863b5d88ae
9,090630012334-2882c58921674672ac58b9f4c72939e0,397faa4be8a24245,140224093327-a181a936fe4419830078fdd881a5a9ac
10,090630012334-2882c58921674672ac58b9f4c72939e0,397faa4be8a24245,140225070743-c924552f9044917b9005d32adbd294c7
11,091008003207-f3ba1eec657e4acfbf6feb453526d2e6,ee3244b3440d63da,091008084926-94328aa11c96415f82652e9117c386ce
12,091008084926-94328aa11c96415f82652e9117c386ce,ee3244b3440d63da,091008003207-f3ba1eec657e4acfbf6feb453526d2e6
13,091012164943-e36e0a513c154fdd8084f9fbb3416112,5f2f6924ae5ff2ea,091107155207-34e754f99e114ce5b2e8d840ddeef738
14,091023113940-59d6c153e27d4adba599758d314f41f0,ff08de7466bd22ec,130702200813-f313867a2f4c3cb6c45173dc571d085a
15,091023113940-59d6c153e27d4adba599758d314f41f0,ff08de7466bd22ec,130913185801-c8ea1322069a74d66bc6a2bc013b821c
16,091023113940-59d6c153e27d4adba599758d314f41f0,ff08de7466bd22ec,131213203717-240b8f26c52806916a5a9ca540eaca08
17,091023124624-b05aedb77ece4195bc0112d13f5625ec,0ec6060a37748d86,100228161010-a8859523958f4c15a758d159e7860b9d
18,091103164808-016073101bff44ee9439665b7bba9d38,dc7435000a2c5c4a,120223015257-00000000a842f207fa6e5632ffe54fff
19,091103164808-016073101bff44ee9439665b7bba9d38,dc7435000a2c5c4a,130704104712-0000000093648dc5e8f7ad179d1301d0
20,091103164808-016073101bff44ee9439665b7bba9d38,dc7435000a2c5c4a,131217154437-6aa1e0cc7fcd8b2b14e471da4b045d61
21,091107155207-34e754f99e114ce5b2e8d840ddeef738,5f2f6924ae5ff2ea,091012164943-e36e0a513c154fdd8084f9fbb3416112
22,091115142558-e89b43c4dc0b4b898a228eab398f995d,f9470965d9c1dbd8,100528181347-2e0c2856e3fa45e3a8d902dcf72fa34a
23,091115142558-e89b43c4dc0b4b898a228eab398f995d,f9470965d9c1dbd8,111218014138-978a7207af4c4e8fa52e1a0e62df798c
