,subject_doc_id,visitor_uuid,also_like_doc
0,081126144540-63ceb3433ffe4a79aacf4f93d029fcb0,2fed4f2e46922d87,100924172636-1fc9a5b9f6114209acea021116a2342c
1,100924172636-1fc9a5b9f6114209acea021116a2342c,2fed4f2e46922d87,081126144540-63ceb3433ffe4a79aacf4f93d029fcb0
2,110223175216-6b529542f69c405cada6288c55401737,77e47a6274a00630,130807161556-98856cc01d82e84010ad75d8071cca26
3,110502190127-345676d4f0eb4ec690b87eb0ddd07390,c8da345dba485d27,130612152717-e282ea31e40f059cfafeca0f70dbf7f2
4,110502190127-345676d4f0eb4ec690b87eb0ddd07390,c8da345dba485d27,130612152718-40bc17ef761034916c745b80ffd2d6e9
5,110614032342-b724ae4085c34dc6b391c71b4671da37,1ab2ef1579e84fdc,130129100606-cfb1a007bc334cb9bc61fe04b49fd0f3
6,120623073621-b28e90cc1d2748dcaed2fd1c24abd69f,6bd0c31608c9cc2d,120623080645-2ca88dae0b974cba954141db0fc0d851
7,120623080645-2ca88dae0b974cba954141db0fc0d851,6bd0c31608c9cc2d,120623073621-b28e90cc1d2748dcaed2fd1c24abd69f
8,120828050835-000000009cd8a039cc039b8989f8de99,787f3cae53d985fd,120828050850-00000000c02286c047ec53641775895e
9,120828050850-00000000c02286c047ec53641775895e,787f3cae53d985fd,120828050835-000000009cd8a039cc039b8989f8de99
10,130129100606-cfb1a007bc334cb9bc61fe04b49fd0f3,1ab2ef1579e84fdc,110614032342-b724ae4085c34dc6b391c71b4671da37
11,130612152717-e282ea31e40f059cfafeca0f70dbf7f2,c8da345dba485d27,110502190127-345676d4f0eb4ec690b87eb0ddd07390
12,130612152717-e282ea31e40f059cfafeca0f70dbf7f2,c8da345dba485d27,130612152718-40bc17ef761034916c745b80ffd2d6e9
13,130612152718-40bc17ef761034916c745b80ffd2d6e9,c8da345dba485d27,110502190127-345676d4f0eb4ec690b87eb0ddd07390
14,130612152718-40bc17ef761034916c745b80ffd2d6e9,c8da345dba485d27,130612152717-e282ea31e40f059cfafeca0f70dbf7f2
15,130705144811-3009fd826fd1c3a72e027559ea0da531,af2d901db71d1795,131224144223-6a956bbc48c6eb3bdc289fa65e753461
16,130807161556-98856cc01d82e84010ad75d8071cca26,77e47a6274a00630,110223175216-6b529542f69c405cada6288c55401737
17,130810070956-4f21f422b9c8a4ffd5f62fdadf1dbee8,232eeca785873d35,130902223509-8fed6b88ae0937c1c43fb30cb9f87ad8
18,130902223509-8fed6b88ae0937c1c43fb30cb9f87ad8,232eeca785873d35,130810070956-4f21f422b9c8a4ffd5f62fdadf1dbee8
19,131024231911-c624d6ab662d62eb2bffc973b0d36fa8,ec42371f12a22538,140125161454-06cc3dcc3b75978186a9ce9b12d93871
20,131117081925-c6809bdf22a46980ac2382740bc28f48,d9175b530302ebaa,140206122940-f714e0a4079ac204bee42e3e6e3fabcd
21,131123040811-0ab252312bf77881c9115c2fcc2e310b,943bc721f780e296,140210124420-ddbc227e25eec8e4d2304dda38a626c1
22,131125183212-7e4848c720bac2bb6cb8edeeff71c4ca,df70cddbd46fd5da,131230160106-e71e7c8796d0867af7f6c6142799304f
23,131125183212-7e4848c720bac2bb6cb8edeeff71c4ca,df70cddbd46fd5da,140114173221-99ffedc0478f24b0a3bfbc1b7d259f84
24,131125183212-7e4848c720bac2bb6cb8edeeff71c4ca,df70cddbd46fd5da,140203224508-d17be972c646731e9cc67028b8363119
25,131125183212-7e4848c720bac2bb6cb8edeeff71c4ca,df70cddbd46fd5da,140227235600-808b09906fe591e6e6a345df3728cb53
26,131224144223-6a956bbc48c6eb3bdc289fa65e753461,af2d901db71d1795,130705144811-3009fd826fd1c3a72e027559ea0da531
27,131230160106-e71e7c8796d0867af7f6c6142799304f,df70cddbd46fd5da,131125183212-7e4848c720bac2bb6cb8edeeff71c4ca
28,131230160106-e71e7c8796d0867af7f6c6142799304f,df70cddbd46fd5da,140114173221-99ffedc0478f24b0a3bfbc1b7d259f84
29,131230160106-e71e7c8796d0867af7f6c6142799304f,df70cddbd46fd5da,140203224508-d17be972c646731e9cc67028b8363119
30,131230160106-e71e7c8796d0867af7f6c6142799304f,df70cddbd46fd5da,140227235600-808b09906fe591e6e6a345df3728cb53
31,140114173221-99ffedc0478f24b0a3bfbc1b7d259f84,df70cddbd46fd5da,131125183212-7e4848c720bac2bb6cb8edeeff71c4ca
32,140114173221-99ffedc0478f24b0a3bfbc1b7d259f84,df70cddbd46fd5da,131230160106-e71e7c8796d0867af7f6c6142799304f
