,subject_doc_id,visitor_uuid,also_like_doc
0,080117140447-0e2e6c90ad8342e59dc1602882d7af62,0c96cb6f5c9867a8,080219014912-3c6645ba1e934d7cb6e02f3b08149442
1,080219014912-3c6645ba1e934d7cb6e02f3b08149442,0c96cb6f5c9867a8,080117140447-0e2e6c90ad8342e59dc1602882d7af62
2,080228175851-54abbccfa4ed429facec52df91cfaca0,8c146b88b5b24082,090905125237-357c3c5f99a34287919b942b51b26c0f
3,080228175851-54abbccfa4ed429facec52df91cfaca0,8c146b88b5b24082,101201032010-763fadd506094ab7a4c793bc49626c71
4,080228175851-54abbccfa4ed429facec52df91cfaca0,8c146b88b5b24082,110627215735-3d79feec94184c28aa0fa8d8cdc847bd
5,080228175851-54abbccfa4ed429facec52df91cfaca0,8c146b88b5b24082,110627221432-245dc8e7de39476581c71c18d15d2f76
6,080228175851-54abbccfa4ed429facec52df91cfaca0,8c146b88b5b24082,131109095129-9860c76955feb0cb20dc0ed91dbd3bf8
7,080228175851-54abbccfa4ed429facec52df91cfaca0,8c146b88b5b24082,140310050110-f517c90a502508a325b895449f3f48f9
8,081230145120-2b5ec05db4e4425dbad4272c2c949343,2d365ca6ef545e53,140313110419-0000000021ed815fdfc187475abeef5d
9,081230145120-2b5ec05db4e4425dbad4272c2c949343,983c22383f4511f5,110415170008-02571dabad304b439d734082e11d4f0c
10,081230145120-2b5ec05db4e4425dbad4272c2c949343,983c22383f4511f5,130313161023-ee03f65a89c7406fa097abe281341b42
11,081230145120-2b5ec05db4e4425dbad4272c2c949343,983c22383f4511f5,130601072136-79f35d68529f31b5b57bdc1bcfba305e
12,081230145120-2b5ec05db4e4425dbad4272c2c949343,983c22383f4511f5,130912093948-00000000de1538b1e65a3fa2c1fff475
13,081230145120-2b5ec05db4e4425dbad4272c2c949343,983c22383f4511f5,131006121309-94a099e6b858454ed626d115b331459f
14,081230145120-2b5ec05db4e4425dbad4272c2c949343,983c22383f4511f5,131130010819-438ca5f31a48ceeba67509818da985ce
15,081230145120-2b5ec05db4e4425dbad4272c2c949343,983c22383f4511f5,131130181754-6f2d8e3eb0287e4395be2b968fcd1fe1
16,081230145120-2b5ec05db4e4425dbad4272c2c949343,983c22383f4511f5,140215015048-3160c2715b70c0e63b3d87de6fa4ea09
17,090511071545-00000000bd4e44b20d9350e8c4865387,0cdc693af0cb2d2e,130228040648-1dd6964fff5a4132a3ce6007cf9eca19
18,090827160521-41c92fb19828496696d1505818b235a8,b4693f5b7b6a6e01,111115120120-043157c70b75451c87c09a47ad95ccc7
19,090829015930-be4353131da94473ae5546d6d0e78b93,0ab910feb934b3b6,091205202751-9c175b6d73f24949872148dcfacd1f37
20,090829015930-be4353131da94473ae5546d6d0e78b93,0ab910feb934b3b6,091229041225-b9fbc4c6a5c54a919806be1911bbc6bf
21,090829015930-be4353131da94473ae5546d6d0e78b93,0ab910feb934b3b6,100121183029-0b1379a7205d4586bc07faa5e8ee33bb
22,090905125237-357c3c5f99a34287919b942b51b26c0f,8c146b88b5b24082,080228175851-54abbccfa4ed429facec52df91cfaca0
23,090905125237-357c3c5f99a34287919b942b51b26c0f,8c146b88b5b24082,101201032010-763fadd506094ab7a4c793bc49626c71
24,090905125237-357c3c5f99a34287919b942b51b26c0f,8c146b88b5b24082,110627215735-3d79feec94184c28aa0fa8d8cdc847bd
25,090905125237-357c3c5f99a34287919b942b51b26c0f,8c146b88b5b24082,110627221432-245dc8e7de39476581c71c18d15d2f76
26,090905125237-357c3c5f99a34287919b942b51b26c0f,8c146b88b5b24082,131109095129-9860c76955feb0cb20dc0ed91dbd3bf8
27,090905125237-357c3c5f99a34287919b942b51b26c0f,8c146b88b5b24082,140310050110-f517c90a502508a325b895449f3f48f9
28,091016160006-0d227d088a32456f87e9b6a99857a86a,e7c4ec3403205497,091016201330-1d262cf631d84746a5b8a24f8d25f488
