,subject_doc_id,visitor_uuid,also_like_doc
0,081126144540-63ceb3433ffe4a79aacf4f93d029fcb0,2fed4f2e46922d87,100924172636-1fc9a5b9f6114209acea021116a2342c
1,090521202729-a5a2e4e1583d4f3ea3c96e554348efad,29b95a389b43515b,101020114946-3753ce40b96b46c88d65295ff647735c
2,090521202729-a5a2e4e1583d4f3ea3c96e554348efad,29b95a389b43515b,110128173632-d551e0449b6e4e9282f55eef3a513a10
3,090521202729-a5a2e4e1583d4f3ea3c96e554348efad,29b95a389b43515b,111111160403-c27101288b3c4a298ee36b73c3faafae
4,090521202729-a5a2e4e1583d4f3ea3c96e554348efad,29b95a389b43515b,120127124306-b801c33716494ad7845538d37fcecc03
5,090521202729-a5a2e4e1583d4f3ea3c96e554348efad,29b95a389b43515b,130825140854-9e0328cbb7c7642424c491bb7c6e9e8b
6,090805164030-4027f0269b7f4aba958e8ffbaf4196ec,2a02af5c4827a35a,140224225511-78e9985b19105fea4fa5b51201a4cb88
7,090827160521-41c92fb19828496696d1505818b235a8,f65638ac016b1013,100616202656-1dcba32ad70e45a6b95376d4ab76ae7c
8,091116124126-216d8de345564246bb09a86c22a39316,5fb18c7e8cda08a5,091128234257-a21db53c8bed4f009a91c892778c7bdd
9,091116124126-216d8de345564246bb09a86c22a39316,5fb18c7e8cda08a5,100706225153-1fb99ec663b54147bd897d3345835de7
10,091116124126-216d8de345564246bb09a86c22a39316,5fb18c7e8cda08a5,140228015854-304fea5abcd6a0c3e0be01138bffa713
11,091116124126-216d8de345564246bb09a86c22a39316,5fb18c7e8cda08a5,bbbbbbbbbbbb-00000000df1ad06a86c4000000beecbe
12,091128234257-a21db53c8bed4f009a91c892778c7bdd,5fb18c7e8cda08a5,091116124126-216d8de345564246bb09a86c22a39316
13,091128234257-a21db53c8bed4f009a91c892778c7bdd,5fb18c7e8cda08a5,100706225153-1fb99ec663b54147bd897d3345835de7
14,091128234257-a21db53c8bed4f009a91c892778c7bdd,5fb18c7e8cda08a5,140228015854-304fea5abcd6a0c3e0be01138bffa713
15,091128234257-a21db53c8bed4f009a91c892778c7bdd,5fb18c7e8cda08a5,bbbbbbbbbbbb-00000000df1ad06a86c4000000beecbe
16,100115082635-7651c91422254bf3a7f833a729c233de,f505a9ead6d04a04,100115110148-4fdc5672c2ca4bda88c0f6253ef98888
17,100115082635-7651c91422254bf3a7f833a729c233de,f505a9ead6d04a04,101013141452-ac31525fb1ad4ebfaf8a74d4a65485b3
18,100115082635-7651c91422254bf3a7f833a729c233de,f505a9ead6d04a04,110823192837-4adb34a05a79451a92dfbf1dfeaf590e
19,100115082635-7651c91422254bf3a7f833a729c233de,f505a9ead6d04a04,110921133858-604034ffd4574540a1b3eb00547cfe3e
20,100115082635-7651c91422254bf3a7f833a729c233de,f505a9ead6d04a04,120115225218-a29348edd998488cbcdfd37826fbbc29
21,100115082635-7651c91422254bf3a7f833a729c233de,f505a9ead6d04a04,120223202217-d72f7eb1d9c84e7986c3cd9f62165b5c
22,100115082635-7651c91422254bf3a7f833a729c233de,f505a9ead6d04a04,120418223830-f26bccb577604fa2a45e129298fcbb61
23,100115082635-7651c91422254bf3a7f833a729c233de,f505a9ead6d04a04,130228191005-5d844949888f424284f6c23adb2d0f6e
24,100115082635-7651c91422254bf3a7f833a729c233de,f505a9ead6d04a04,130321122439-c3d172a4875c42e399838c348da18c50
25,100115082635-7651c91422254bf3a7f833a729c233de,f505a9ead6d04a04,130429222235-8d4f0e3031e24843975721a2ae75cb04
26,100115082635-7651c91422254bf3a7f833a729c233de,f505a9ead6d04a04,130509052013-3aaf14ead430481a8f4d33b68a85d9c8
27,100115082635-7651c91422254bf3a7f833a729c233de,f505a9ead6d04a04,130526154453-617754fef19b4d5f9d47e70ba2fb577f
